Hora, Tipo Registro, Mensaje,Robot

2023-09-08 09:45:35.451996, TRACE, Inicio Ejecucion, EDSA_003_CambioCuenta
2023-09-08 09:45:35.503696, TRACE, Inicio del modulo Init ,InitConfig
2023-09-08 09:45:35.770563, TRACE, Fin del modulo Init ,InitConfig
2023-09-08 09:45:35.836553, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-08 09:45:44.097354, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-08 09:45:44.166453, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-09-08 09:45:44.249217, INFO, "Conecta con el server de gmail" ,NotificacionesCorreo
2023-09-08 09:45:46.941962, INFO, "Valida si es un correo de inicio o de fin" ,NotificacionesCorreo
2023-09-08 09:45:48.812300, INFO, "Valido que es un correo de Inicio" ,NotificacionesCorreo
2023-09-08 09:45:48.858286, INFO, Se conecto y envio correo correctamente ,NotificacionesCorreo
2023-09-08 09:45:48.906552, INFO, Finaliza el modulo de envio de correo ,NotificacionesCorreo
2023-09-08 09:45:48.965963, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-08 09:45:51.892370, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-08 09:45:51.949670, TRACE, Inicio del submodulo InitApps ,InitApps
2023-09-08 09:45:52.009793, INFO, "Incio del modulo LoginCosmos" ,Login
2023-09-08 09:46:34.671970, INFO, "Inicio del modulo Obtener Token" ,ObtenerToken
2023-09-08 09:46:34.730144, INFO, "Fin del modulo Obtener Token" ,ObtenerToken
2023-09-08 09:46:45.751317, INFO, "Fin del modulo LoginCosmos" ,Login
2023-09-08 09:46:45.792355, TRACE, Fin del submodulo InitApps ,InitApps
2023-09-08 09:46:45.832639, TRACE, Fin del modulo Init ,Init
2023-09-08 09:46:46.248673, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-09-08 09:46:48.637626, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-09-08 09:46:49.272846, TRACE, Inicio del modulo Process ,Process
2023-09-08 09:46:49.348220, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-09-08 09:46:50.508380, INFO, "Fin del modulo Work Data" ,Work_Data
2023-09-08 09:46:50.612357, INFO, INICIO A CERRAR LAS PESTAÑAS ABIERTAS DEL CLIENTE ,CerrarPestanasCliente
2023-09-08 09:46:55.869680, INFO, FIN CERRAR LAS PESTAÑAS ABIERTAS DEL CLIENTE ,CerrarPestanasCliente
2023-09-08 09:46:55.941992, INFO, INICIO CERRAR LOS CLIENTES ABIERTOS ,CerrarCliente
2023-09-08 09:47:04.133115, INFO, FIN CERRAR LOS CLIENTES ABIERTOS ,CerrarCliente
2023-09-08 09:47:04.189942, INFO, INICIO CERRAR LOS CLIENTES ABIERTOS ,CerrarProductos
2023-09-08 09:47:06.329944, INFO, FIN CERRAR LOS CLIENTES ABIERTOS ,CerrarProductos
2023-09-08 09:47:06.361195, INFO, "Inicio del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-08 09:47:24.377686, INFO, "Intento de click en Buscar numero"+1+" de 10" ,Buscar_Cliente
2023-09-08 09:47:25.329644, INFO, "Intento de click en Buscar numero"+2+" de 10" ,Buscar_Cliente
2023-09-08 09:47:25.495911, INFO, "Fin del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-08 09:47:25.558352, INFO, INICIO A EXTRAER INTERACCION ,ExtraerInteracciones
2023-09-08 09:47:34.636776, INFO, FIN  EXTRAER INTERACCION ,ExtraerInteracciones
2023-09-08 09:47:34.694219, INFO, INICIO MODULO DATOS DE PAGO ,DatosDePago
2023-09-08 09:47:42.590579, INFO, FIN MODULO DATOS DE PAGO ,DatosDePago
2023-09-08 09:47:42.655787, INFO, INICIO MODULO ALTA DE PAGOS ,AltaDePago
2023-09-08 09:48:01.435597, INFO, FIN MODULO ALTA DE PAGOS ,AltaDePago
2023-09-08 09:48:01.482501, INFO, INICIO A CERRAR LAS PESTAÑAS ABIERTAS DEL CLIENTE ,CerrarPestanasCliente
2023-09-08 09:48:02.395467, INFO, FIN CERRAR LAS PESTAÑAS ABIERTAS DEL CLIENTE ,CerrarPestanasCliente
2023-09-08 09:48:02.455259, INFO, Inicio del modulo productos contratados ,ProductosContratados
2023-09-08 09:48:48.626961, INFO, Fin del modulo productos contratados ,ProductosContratados
2023-09-08 09:49:14.927783, INFO, INICIO MODULO EMAIL ,Email
2023-09-08 09:50:10.445934, INFO, FIN MODULO EMAIL ,Email
2023-09-08 09:50:10.534637, INFO, INICIO A CERRAR LAS PESTAÑAS ABIERTAS DEL CLIENTE ,CerrarPestanasCliente
2023-09-08 09:50:18.646879, INFO, FIN CERRAR LAS PESTAÑAS ABIERTAS DEL CLIENTE ,CerrarPestanasCliente
2023-09-08 09:50:18.696111, INFO, INICIO CERRAR LOS CLIENTES ABIERTOS ,CerrarCliente
2023-09-08 09:50:26.644355, INFO, FIN CERRAR LOS CLIENTES ABIERTOS ,CerrarCliente
2023-09-08 09:50:26.701814, INFO, "Inicio del modulo " ,Ultimas_Validaciones
2023-09-08 09:50:26.762800, INFO, "Se pasa la variable de reintentoS a "3+1" Para salir del bucle" ,Ultimas_Validaciones
2023-09-08 09:50:26.797855, INFO, "Fin del modulo " ,Ultimas_Validaciones
2023-09-08 09:50:26.853153, INFO, "Incio del modulo SetTransactionStatus" ,Set_Transaction_Status
2023-09-08 09:50:26.909486, INFO, "Inicio del modulo Chage Status BPM" ,Change_Status_BPM
2023-09-08 09:50:29.481088, INFO, "Fin del modulo Chage Status BPM" ,Change_Status_BPM
2023-09-08 09:50:29.521942, INFO, "Fin del modulo SetTransactionStatus" ,Set_Transaction_Status
2023-09-08 09:50:29.559104, TRACE, Fin del modulo Process ,Process
2023-09-08 09:50:30.439266, TRACE, Inicio del modulo EndProcess ,EndProcess
2023-09-08 09:50:30.461268, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-08 09:50:33.106353, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-08 09:50:33.179072, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-09-08 09:50:33.258788, INFO, "Conecta con el server de gmail" ,NotificacionesCorreo
2023-09-08 09:50:34.680022, INFO, "Valida si es un correo de inicio o de fin" ,NotificacionesCorreo
2023-09-08 09:50:36.518230, INFO, "Valido que es un correo de fin" ,NotificacionesCorreo
2023-09-08 09:50:36.562294, INFO, Se conecto y envio correo correctamente ,NotificacionesCorreo
2023-09-08 09:50:36.606845, INFO, Finaliza el modulo de envio de correo ,NotificacionesCorreo
2023-09-08 09:50:36.643263, TRACE, Fin del modulo EndProcess ,EndProcess
2023-09-08 09:50:36.679616, TRACE, Finalizacion de Ejecucion, EDSA_003_CambioCuenta

2023-09-08 09:54:42.464713, TRACE, Incio del modulo Init ,Init

2023-09-08 09:54:42.550566, TRACE, Inicio Ejecucion, EDSA_003_CambioCuenta
2023-09-08 09:54:42.598564, TRACE, Inicio del modulo Init ,InitConfig
2023-09-08 09:54:42.755514, TRACE, Fin del modulo Init ,InitConfig
2023-09-08 09:54:42.818184, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-08 09:54:50.307221, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-08 09:54:50.372708, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-09-08 09:54:50.453561, INFO, "Conecta con el server de gmail" ,NotificacionesCorreo
2023-09-08 09:54:52.008407, INFO, "Valida si es un correo de inicio o de fin" ,NotificacionesCorreo
2023-09-08 09:54:53.746093, INFO, "Valido que es un correo de Inicio" ,NotificacionesCorreo
2023-09-08 09:54:53.789797, INFO, Se conecto y envio correo correctamente ,NotificacionesCorreo
2023-09-08 09:54:53.833034, INFO, Finaliza el modulo de envio de correo ,NotificacionesCorreo
2023-09-08 09:54:53.888047, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-08 09:55:14.367090, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-08 09:55:14.425302, TRACE, Inicio del submodulo InitApps ,InitApps
2023-09-08 09:55:14.483475, INFO, "Incio del modulo LoginCosmos" ,Login
2023-09-08 09:55:53.694955, INFO, "Inicio del modulo Obtener Token" ,ObtenerToken
2023-09-08 09:55:53.747892, INFO, "Fin del modulo Obtener Token" ,ObtenerToken
2023-09-08 09:56:11.175497, INFO, "Fin del modulo LoginCosmos" ,Login
2023-09-08 09:56:11.211998, TRACE, Fin del submodulo InitApps ,InitApps
2023-09-08 09:56:11.248236, TRACE, Fin del modulo Init ,Init
2023-09-08 09:56:11.681331, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-09-08 09:56:13.653019, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-09-08 09:56:14.296825, TRACE, Inicio del modulo Process ,Process
2023-09-08 09:56:14.374519, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-09-08 09:56:15.629238, INFO, "Fin del modulo Work Data" ,Work_Data
2023-09-08 09:56:15.736542, INFO, INICIO A CERRAR LAS PESTAÑAS ABIERTAS DEL CLIENTE ,CerrarPestanasCliente
2023-09-08 09:56:21.133598, INFO, FIN CERRAR LAS PESTAÑAS ABIERTAS DEL CLIENTE ,CerrarPestanasCliente
2023-09-08 09:56:21.180526, INFO, INICIO CERRAR LOS CLIENTES ABIERTOS ,CerrarCliente
2023-09-08 09:56:31.179929, INFO, FIN CERRAR LOS CLIENTES ABIERTOS ,CerrarCliente
