Hora, Tipo Registro, Mensaje,Robot

2023-09-04 08:24:25.839581, TRACE, Inicio Ejecucion, EDSA_003_CambioCuenta
2023-09-04 08:24:25.889583, TRACE, Inicio del modulo Init ,InitConfig
2023-09-04 08:24:26.020645, TRACE, Fin del modulo Init ,InitConfig
2023-09-04 08:24:26.078808, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-04 08:24:32.077083, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-04 08:24:32.142695, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-04 08:24:32.208394, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-04 08:24:32.260393, TRACE, Inicio del submodulo InitApps ,InitApps
2023-09-04 08:24:32.323195, INFO, "Incio del modulo LoginCosmos" ,Login
2023-09-04 08:25:16.941338, INFO, "Inicio del modulo Obtener Token" ,ObtenerToken
2023-09-04 08:25:17.014488, INFO, "Fin del modulo Obtener Token" ,ObtenerToken
2023-09-04 08:25:30.733907, INFO, "Fin del modulo LoginCosmos" ,Login
2023-09-04 08:25:30.777878, TRACE, Fin del submodulo InitApps ,InitApps
2023-09-04 08:25:30.830478, TRACE, Fin del modulo Init ,Init
2023-09-04 08:25:52.805420, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-09-04 08:25:54.429881, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-09-04 08:26:12.548207, TRACE, Inicio del modulo Process ,Process
2023-09-04 08:26:12.662557, INFO, INICIO A EXTRAER INTERACCION ,ExtraerInteracciones
2023-09-04 08:26:14.527698, INFO, FIN  EXTRAER INTERACCION ,ExtraerInteracciones
2023-09-04 08:26:14.669145, TRACE, Fin del modulo Process ,Process
2023-09-04 08:27:30.231680, TRACE, Inicio del modulo Process ,Process
2023-09-04 08:27:30.353556, INFO, INICIO A EXTRAER INTERACCION ,ExtraerInteracciones
2023-09-04 08:27:31.625088, INFO, FIN  EXTRAER INTERACCION ,ExtraerInteracciones
2023-09-04 08:27:31.753272, TRACE, Fin del modulo Process ,Process
2023-09-04 08:28:11.512894, TRACE, Inicio del modulo Process ,Process
2023-09-04 08:28:11.599020, INFO, INICIO CERRAR LOS CLIENTES ABIERTOS ,CerrarCliente
2023-09-04 08:28:14.421905, INFO, FIN CERRAR LOS CLIENTES ABIERTOS ,CerrarCliente
2023-09-04 08:28:14.478197, INFO, "Inicio del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-04 08:28:17.512674, INFO, "Intento de click en Buscar numero"+1+" de 10" ,Buscar_Cliente
2023-09-04 08:28:18.413803, INFO, "Intento de click en Buscar numero"+2+" de 10" ,Buscar_Cliente
