Hora, Tipo Registro, Mensaje,Robot

2023-09-15 10:23:16.602078, TRACE, Inicio Ejecucion, EDSA_003_CambioCuenta
2023-09-15 10:23:16.723999, TRACE, Inicio del modulo Init ,InitConfig
2023-09-15 10:23:17.350075, TRACE, Fin del modulo Init ,InitConfig
2023-09-15 10:23:17.479860, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-15 10:23:23.755672, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-15 10:23:23.886000, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-09-15 10:23:24.011680, INFO, "Conecta con el server de gmail" ,NotificacionesCorreo
2023-09-15 10:23:25.859438, INFO, "Valida si es un correo de inicio o de fin" ,NotificacionesCorreo
2023-09-15 10:23:27.765087, INFO, "Valido que es un correo de Inicio" ,NotificacionesCorreo
2023-09-15 10:23:27.836083, INFO, Se conecto y envio correo correctamente ,NotificacionesCorreo
2023-09-15 10:23:27.904728, INFO, Finaliza el modulo de envio de correo ,NotificacionesCorreo
2023-09-15 10:23:28.003374, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-15 10:23:32.286765, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-15 10:23:32.394943, TRACE, Inicio del submodulo InitApps ,InitApps
2023-09-15 10:23:32.514137, INFO, "Incio del modulo LoginCosmos" ,Login
2023-09-15 10:24:15.097444, INFO, "Inicio del modulo Obtener Token" ,ObtenerToken
2023-09-15 10:24:15.191685, INFO, "Fin del modulo Obtener Token" ,ObtenerToken
2023-09-15 10:24:26.948304, INFO, "Fin del modulo LoginCosmos" ,Login
2023-09-15 10:24:27.052065, TRACE, Fin del submodulo InitApps ,InitApps
2023-09-15 10:24:27.117078, TRACE, Fin del modulo Init ,Init
2023-09-15 10:24:27.730688, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-09-15 10:24:29.648400, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-09-15 10:24:30.379621, TRACE, Inicio del modulo Process ,Process
