Hora, Tipo Registro, Mensaje,Robot

2023-09-01 10:45:24.859377, TRACE, Inicio Ejecucion, EDSA_003_CambioCuenta
2023-09-01 10:45:24.901141, TRACE, Inicio del modulo Init ,InitConfig
2023-09-01 10:45:25.080405, TRACE, Fin del modulo Init ,InitConfig
2023-09-01 10:45:25.149091, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-01 10:45:31.826932, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-01 10:45:31.875897, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-01 10:45:34.852611, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-01 10:45:34.896438, TRACE, Inicio del submodulo InitApps ,InitApps
2023-09-01 10:45:34.925355, TRACE, Fin del submodulo InitApps ,InitApps
2023-09-01 10:45:34.956443, TRACE, Fin del modulo Init ,Init
2023-09-01 10:49:51.546818, TRACE, Incio del modulo Init ,Init

2023-09-01 10:49:51.615066, TRACE, Inicio Ejecucion, EDSA_003_CambioCuenta
2023-09-01 10:49:51.655541, TRACE, Inicio del modulo Init ,InitConfig
2023-09-01 10:49:51.806188, TRACE, Fin del modulo Init ,InitConfig
2023-09-01 10:49:51.853412, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-01 10:49:58.902808, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-01 10:49:58.953595, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-01 10:50:35.880201, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-01 10:50:35.923751, TRACE, Inicio del submodulo InitApps ,InitApps
2023-09-01 10:50:36.003226, INFO, "Incio del modulo LoginCosmos" ,Login
2023-09-01 10:51:16.726724, INFO, "Inicio del modulo Obtener Token" ,ObtenerToken
2023-09-01 10:51:16.771078, INFO, "Fin del modulo Obtener Token" ,ObtenerToken
2023-09-01 10:51:27.946565, INFO, "Fin del modulo LoginCosmos" ,Login
2023-09-01 10:51:27.978568, TRACE, Fin del submodulo InitApps ,InitApps
2023-09-01 10:51:28.011568, TRACE, Fin del modulo Init ,Init
2023-09-01 11:06:17.623200, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-09-01 11:06:18.064974, ERROR, "Error inesperado" ,GetDataOrchestrator
2023-09-01 11:06:18.115929, INFO, "Inicio del modulo Chage Status BPM" ,Change_Status_BPM
2023-09-01 11:06:18.647145, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-09-01 11:06:18.705571, INFO, "Conecta con el server de gmail" ,NotificacionesCorreo
