Hora, Tipo Registro, Mensaje,Robot
2023-09-20 22:20:12.194778, TRACE, Inicio del modulo Init ,InitConfig
2023-09-20 22:20:12.316781, TRACE, Fin del modulo Init ,InitConfig
2023-09-20 22:20:12.356778, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-20 22:20:20.122811, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-20 22:20:20.159805, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-20 22:20:22.264521, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-20 22:20:22.306520, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-09-20 22:20:22.343520, INFO, "Conecta con el server de gmail" ,NotificacionesCorreo
2023-09-20 22:20:23.834113, INFO, "Valida si es un correo de inicio o de fin" ,NotificacionesCorreo
2023-09-20 22:20:25.181172, INFO, "Valido que es un correo de Inicio" ,NotificacionesCorreo
2023-09-20 22:20:25.214169, INFO, Se conecto y envio correo correctamente ,NotificacionesCorreo
2023-09-20 22:20:25.244172, INFO, Finaliza el modulo de envio de correo ,NotificacionesCorreo
2023-09-20 22:20:25.280173, TRACE, Inicio del submodulo InitApps ,InitApps
2023-09-20 22:20:25.312168, INFO, "Incio del modulo LoginCosmos" ,Login
2023-09-20 22:20:38.395164, INFO, "Inicio del modulo Obtener Token" ,ObtenerToken
2023-09-20 22:20:38.567161, INFO, "Fin del modulo Obtener Token" ,ObtenerToken
2023-09-20 22:20:48.392513, INFO, "Fin del modulo LoginCosmos" ,Login
2023-09-20 22:20:48.430511, TRACE, Fin del submodulo InitApps ,InitApps
2023-09-20 22:20:48.464512, TRACE, Fin del modulo Init ,Init
2023-09-20 22:21:36.928785, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-09-20 22:21:39.479142, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-09-20 22:23:32.333448, TRACE, Incio del modulo Init ,Init

2023-09-20 22:23:32.388439, TRACE, Inicio Ejecucion, RB_ES_EDSA_003_CambioCuenta
2023-09-20 22:23:32.418437, TRACE, Inicio del modulo Init ,InitConfig
2023-09-20 22:23:32.535443, TRACE, Fin del modulo Init ,InitConfig
2023-09-20 22:23:32.573442, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-20 22:23:41.077017, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-20 22:23:41.122018, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-20 22:23:43.233968, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-20 22:23:43.273970, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-09-20 22:23:43.308976, INFO, "Conecta con el server de gmail" ,NotificacionesCorreo
2023-09-20 22:23:44.824881, INFO, "Valida si es un correo de inicio o de fin" ,NotificacionesCorreo
2023-09-20 22:23:46.150568, INFO, "Valido que es un correo de Inicio" ,NotificacionesCorreo
2023-09-20 22:23:46.184577, INFO, Se conecto y envio correo correctamente ,NotificacionesCorreo
2023-09-20 22:23:46.214571, INFO, Finaliza el modulo de envio de correo ,NotificacionesCorreo
2023-09-20 22:23:46.250566, TRACE, Inicio del submodulo InitApps ,InitApps
2023-09-20 22:23:46.281580, INFO, "Incio del modulo LoginCosmos" ,Login
2023-09-20 22:23:58.411164, INFO, "Inicio del modulo Obtener Token" ,ObtenerToken
2023-09-20 22:23:58.445177, INFO, "Fin del modulo Obtener Token" ,ObtenerToken
2023-09-20 22:24:08.100970, INFO, "Fin del modulo LoginCosmos" ,Login
2023-09-20 22:24:08.134972, TRACE, Fin del submodulo InitApps ,InitApps
2023-09-20 22:24:08.166973, TRACE, Fin del modulo Init ,Init
2023-09-20 22:24:08.219974, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-09-20 22:24:11.193551, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-09-20 22:24:11.791551, TRACE, Inicio del modulo Process ,Process
2023-09-20 22:24:11.844550, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-09-20 22:24:13.023015, INFO, "Fin del modulo Work Data" ,Work_Data
2023-09-20 22:24:13.054272, INFO, INICIO A CERRAR LAS PESTAÑAS ABIERTAS DEL CLIENTE ,CerrarPestanasCliente
2023-09-20 22:24:22.722601, INFO, FIN CERRAR LAS PESTAÑAS ABIERTAS DEL CLIENTE ,CerrarPestanasCliente
2023-09-20 22:24:22.769469, INFO, INICIO CERRAR LOS CLIENTES ABIERTOS ,CerrarCliente
2023-09-20 22:24:27.612277, INFO, FIN CERRAR LOS CLIENTES ABIERTOS ,CerrarCliente
2023-09-20 22:24:27.659143, INFO, INICIO CERRAR LOS CLIENTES ABIERTOS ,CerrarProductos
2023-09-20 22:24:29.721413, INFO, FIN CERRAR LOS CLIENTES ABIERTOS ,CerrarProductos
2023-09-20 22:24:29.768211, INFO, "Inicio del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-20 22:24:47.848145, INFO, "Intento de click en Buscar numero"+1+" de 10" ,Buscar_Cliente
2023-09-20 22:24:48.767951, INFO, "Intento de click en Buscar numero"+2+" de 10" ,Buscar_Cliente
2023-09-20 22:24:49.009762, INFO, "Fin del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-20 22:24:49.046773, INFO, INICIO A EXTRAER INTERACCION ,ExtraerInteracciones
2023-09-20 22:24:58.182948, INFO, FIN  EXTRAER INTERACCION ,ExtraerInteracciones
2023-09-20 22:24:58.214193, INFO, INICIO MODULO DATOS DE PAGO ,DatosDePago
2023-09-20 22:25:05.754143, INFO, FIN MODULO DATOS DE PAGO ,DatosDePago
2023-09-20 22:25:05.794138, INFO, INICIO MODULO ALTA DE PAGOS ,AltaDePago
