Hora, Tipo Registro, Mensaje,Robot
2023-09-22 19:10:48.708374, TRACE, Incio del modulo Init ,Init
2023-09-22 19:10:48.755205, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-22 19:10:57.075608, INFO, "Inicio del modulo GetAssets" ,GetAssets

2023-09-22 19:10:57.216248, TRACE, Inicio Ejecucion, RB_ES_EDSA_003_CambioCuenta
2023-09-22 19:10:57.278755, TRACE, Inicio del modulo Init ,InitConfig
2023-09-22 19:10:57.466249, TRACE, Fin del modulo Init ,InitConfig
2023-09-22 19:10:57.528757, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-22 19:10:57.575627, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-22 19:10:57.638131, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-09-22 19:10:57.700621, INFO, "Conecta con el server de gmail" ,NotificacionesCorreo
2023-09-22 19:10:59.477234, INFO, "Valida si es un correo de inicio o de fin" ,NotificacionesCorreo
2023-09-22 19:11:00.789654, INFO, "Valido que es un correo de Inicio" ,NotificacionesCorreo
2023-09-22 19:11:00.836541, INFO, Se conecto y envio correo correctamente ,NotificacionesCorreo
2023-09-22 19:11:00.883416, INFO, Finaliza el modulo de envio de correo ,NotificacionesCorreo
2023-09-22 19:11:00.945940, TRACE, Inicio del submodulo InitApps ,InitApps
2023-09-22 19:11:00.992787, INFO, "Incio del modulo LoginCosmos" ,Login
2023-09-22 19:11:12.714560, INFO, "Inicio del modulo Obtener Token" ,ObtenerToken
2023-09-22 19:11:12.783568, INFO, "Fin del modulo Obtener Token" ,ObtenerToken
2023-09-22 19:11:22.911465, INFO, "Fin del modulo LoginCosmos" ,Login
2023-09-22 19:11:22.970472, TRACE, Fin del submodulo InitApps ,InitApps
2023-09-22 19:11:23.032466, TRACE, Fin del modulo Init ,Init
2023-09-22 19:11:23.172468, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-09-22 19:11:25.583848, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-09-22 19:11:26.199686, TRACE, Inicio del modulo Process ,Process
2023-09-22 19:11:26.276683, INFO, Inicio del modulo ,Work_Data
2023-09-22 19:11:26.811686, INFO, "Inicio del modulo" ,Change_Status_BPM
2023-09-22 19:11:27.933681, INFO, Fin del modulo ,Change_Status_BPM
2023-09-22 19:11:27.992289, INFO, Fin del modulo ,Work_Data
