Hora, Tipo Registro, Mensaje,Robot

2023-08-23 07:51:28.537681, TRACE, Inicio Ejecucion, EDSA_006_CambioTitularidad
2023-08-23 07:51:28.589395, TRACE, Inicio del modulo Init ,InitConfig
2023-08-23 07:51:28.847156, TRACE, Fin del modulo Init ,InitConfig
2023-08-23 07:51:28.907851, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-23 07:51:35.316346, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-23 07:51:35.380942, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-08-23 07:51:38.189076, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-08-23 07:51:38.240930, TRACE, Inicio del submodulo InitApps ,InitApps
2023-08-23 07:51:38.293128, INFO, "Incio del modulo LoginCosmos" ,LoginTest
2023-08-23 07:52:22.510726, INFO, "Fin del modulo LoginCosmos" ,LoginTest
2023-08-23 07:52:22.541568, TRACE, Fin del submodulo InitApps ,InitApps
2023-08-23 07:52:22.573159, TRACE, Fin del modulo Init ,Init
2023-08-23 09:12:28.018260, TRACE, Incio del modulo Init ,Init

2023-08-23 09:12:28.101430, TRACE, Inicio Ejecucion, EDSA_006_CambioTitularidad
2023-08-23 09:12:28.147654, TRACE, Inicio del modulo Init ,InitConfig
2023-08-23 09:12:28.323413, TRACE, Fin del modulo Init ,InitConfig
2023-08-23 09:12:28.383392, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-23 09:12:34.732011, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-23 09:12:34.794840, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-08-23 09:12:37.486426, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-08-23 09:12:37.538253, TRACE, Inicio del submodulo InitApps ,InitApps
2023-08-23 09:12:37.592563, INFO, "Incio del modulo LoginCosmos" ,LoginTest
2023-08-23 09:13:22.496457, INFO, "Fin del modulo LoginCosmos" ,LoginTest
2023-08-23 09:13:22.530332, TRACE, Fin del submodulo InitApps ,InitApps
2023-08-23 09:13:22.565892, TRACE, Fin del modulo Init ,Init
2023-08-23 09:18:51.265137, TRACE, Incio del modulo Init ,Init

2023-08-23 09:18:51.351715, TRACE, Inicio Ejecucion, EDSA_006_CambioTitularidad
2023-08-23 09:18:51.396728, TRACE, Inicio del modulo Init ,InitConfig
2023-08-23 09:18:51.565010, TRACE, Fin del modulo Init ,InitConfig
2023-08-23 09:18:51.626023, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-23 09:18:57.736953, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-23 09:18:57.798008, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-08-23 09:19:00.425229, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-08-23 09:19:00.487114, TRACE, Inicio del submodulo InitApps ,InitApps
2023-08-23 09:19:00.538857, INFO, "Incio del modulo LoginCosmos" ,LoginTest
2023-08-23 09:19:42.881456, INFO, "Fin del modulo LoginCosmos" ,LoginTest
2023-08-23 09:19:42.917569, TRACE, Fin del submodulo InitApps ,InitApps
2023-08-23 09:19:42.955821, TRACE, Fin del modulo Init ,Init
2023-08-23 09:32:43.610956, TRACE, Incio del modulo Init ,Init

2023-08-23 09:32:43.694850, TRACE, Inicio Ejecucion, EDSA_006_CambioTitularidad
2023-08-23 09:32:43.744072, TRACE, Inicio del modulo Init ,InitConfig
2023-08-23 09:32:43.906892, TRACE, Fin del modulo Init ,InitConfig
2023-08-23 09:32:43.965905, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-23 09:32:49.831215, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-23 09:32:49.896112, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-08-23 09:32:52.541332, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-08-23 09:32:52.597791, TRACE, Inicio del submodulo InitApps ,InitApps
2023-08-23 09:32:52.654639, INFO, "Incio del modulo LoginCosmos" ,LoginTest
2023-08-23 09:33:35.735768, INFO, "Fin del modulo LoginCosmos" ,LoginTest
