Hora, Tipo Registro, Mensaje,Robot

2023-08-22 08:37:18.575061, TRACE, Inicio Ejecucion, EDSA_006_CambioTitularidad
2023-08-22 08:37:18.727555, TRACE, Inicio del modulo Init ,InitConfig
2023-08-22 08:37:19.407957, TRACE, Fin del modulo Init ,InitConfig
2023-08-22 08:37:19.598178, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-22 08:37:28.022492, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-22 08:37:28.107544, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-08-22 08:37:28.378226, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-08-22 08:37:28.467080, TRACE, Inicio del submodulo InitApps ,InitApps
2023-08-22 08:37:28.570679, INFO, "Incio del modulo LoginCosmos" ,LoginTest
2023-08-22 08:38:38.012163, INFO, "Fin del modulo LoginCosmos" ,LoginTest
2023-08-22 08:38:38.073162, TRACE, Fin del submodulo InitApps ,InitApps
2023-08-22 08:38:38.171688, TRACE, Fin del modulo Init ,Init
2023-08-22 09:58:03.909571, TRACE, Incio del modulo Init ,Init

2023-08-22 09:58:04.020279, TRACE, Inicio Ejecucion, EDSA_006_CambioTitularidad
2023-08-22 09:58:04.071624, TRACE, Inicio del modulo Init ,InitConfig
2023-08-22 09:58:04.217635, TRACE, Fin del modulo Init ,InitConfig
2023-08-22 09:58:04.284980, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-22 09:58:12.138413, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-22 09:58:12.215532, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-08-22 09:58:14.864412, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-08-22 09:58:14.919664, TRACE, Inicio del submodulo InitApps ,InitApps
2023-08-22 09:58:14.980020, INFO, "Incio del modulo LoginCosmos" ,LoginTest
2023-08-22 09:59:13.832711, INFO, "Fin del modulo LoginCosmos" ,LoginTest
2023-08-22 09:59:13.865026, TRACE, Fin del submodulo InitApps ,InitApps
2023-08-22 09:59:13.913038, TRACE, Fin del modulo Init ,Init
2023-08-22 10:15:12.992972, TRACE, Incio del modulo Init ,Init

2023-08-22 10:15:13.076187, TRACE, Inicio Ejecucion, EDSA_006_CambioTitularidad
2023-08-22 10:15:13.124093, TRACE, Inicio del modulo Init ,InitConfig
2023-08-22 10:15:13.265345, TRACE, Fin del modulo Init ,InitConfig
2023-08-22 10:15:13.328387, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-22 10:15:22.753764, INFO, "Inicio del modulo GetAssets" ,GetAssets
