Hora, Tipo Registro, Mensaje,Robot

2023-09-06 09:35:01.548876, TRACE, Inicio Ejecucion, EDSA_003_CambioCuenta
2023-09-06 09:35:01.598716, TRACE, Inicio del modulo Init ,InitConfig
2023-09-06 09:35:01.762358, TRACE, Fin del modulo Init ,InitConfig
2023-09-06 09:35:01.824064, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-06 09:35:09.011541, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-06 09:35:09.076022, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-09-06 09:35:09.157673, INFO, "Conecta con el server de gmail" ,NotificacionesCorreo
2023-09-06 09:35:11.703251, INFO, "Valida si es un correo de inicio o de fin" ,NotificacionesCorreo
2023-09-06 09:35:15.028588, INFO, "Valido que es un correo de Inicio" ,NotificacionesCorreo
2023-09-06 09:35:15.072751, INFO, Se conecto y envio correo correctamente ,NotificacionesCorreo
2023-09-06 09:35:15.117462, INFO, Finaliza el modulo de envio de correo ,NotificacionesCorreo
2023-09-06 09:35:15.175144, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-06 09:35:17.768707, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-06 09:35:17.825904, TRACE, Inicio del submodulo InitApps ,InitApps
2023-09-06 09:35:17.879996, INFO, "Incio del modulo LoginCosmos" ,Login
2023-09-06 09:35:57.749144, INFO, "Inicio del modulo Obtener Token" ,ObtenerToken
2023-09-06 09:35:57.868560, INFO, "Fin del modulo Obtener Token" ,ObtenerToken
2023-09-06 09:36:11.348845, INFO, "Fin del modulo LoginCosmos" ,Login
2023-09-06 09:36:11.388157, TRACE, Fin del submodulo InitApps ,InitApps
2023-09-06 09:36:11.425290, TRACE, Fin del modulo Init ,Init
2023-09-06 09:36:11.801445, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-09-06 09:36:13.741929, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-09-06 09:36:14.363271, TRACE, Inicio del modulo Process ,Process
2023-09-06 09:36:14.445716, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-09-06 09:36:15.330435, INFO, "Fin del modulo Work Data" ,Work_Data
2023-09-06 09:36:15.392916, INFO, INICIO A CERRAR LAS PESTAÑAS ABIERTAS DEL CLIENTE ,CerrarPestanasCliente
2023-09-06 09:36:21.821094, INFO, FIN CERRAR LAS PESTAÑAS ABIERTAS DEL CLIENTE ,CerrarPestanasCliente
2023-09-06 09:36:21.870990, INFO, INICIO CERRAR LOS CLIENTES ABIERTOS ,CerrarCliente
2023-09-06 09:36:24.009606, INFO, FIN CERRAR LOS CLIENTES ABIERTOS ,CerrarCliente
2023-09-06 09:36:24.057438, INFO, INICIO CERRAR LOS CLIENTES ABIERTOS ,CerrarProductos
2023-09-06 09:36:26.203092, INFO, FIN CERRAR LOS CLIENTES ABIERTOS ,CerrarProductos
2023-09-06 09:36:26.269212, INFO, "Inicio del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-06 09:36:44.311553, INFO, "Intento de click en Buscar numero"+1+" de 10" ,Buscar_Cliente
